NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY,,,,,,,,,,
103,195669,3,3,Daiso,Vinx::Daiso::5110_Daiso Cheras Selatan,Monitoring,03/17/2020 18:37:00,03/18/2020 22:50:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once Telco reset SIM Network & we perform network cellular reset,Shalini,,,,,,,,,,
104,195896,3,2,Daiso,Vinx::Daiso::5122_Daiso Atria,Monitoring,03/17/2020 22:20:00,03/30/2020 9:39:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Site total down (closed due to MCO) and restored via primary after power resumed,Shalini,,,,,,,,,,
,,,,,,,03/30/2020 12:57:00,03/30/2020 13:00:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Site total down (closed due to MCO) and restored via backup link after power resumed. Primary link detected down at 03/30/2020 12:57:00 and up at 04/08/2020 18:02:00 PM due to telco outage (TM having offload activity to ease congestion). Primary link up once telco rectified the issue.,Wany,,,,,,,,,,
105,195897,3,3,Daiso,Vinx::Daiso::5131_Daiso KL Festival City,Monitoring,03/17/2020 22:41:00,03/21/2020 8:06:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,"Primary link down (suspected session hang). Link up via self restored.
Site is temporary closed between 18th March to 14th April 2020.",Shalini,,,,,,,,,,
106,195936,3,2,Wellness,Vinx::Wellness::5007_Wellness Taman Maluri,Monitoring,03/18/2020 10:11:00,03/18/2020 12:30:00,03/18/2020 10:11:00,03/18/2020 12:30:00,0 days 2 hrs 19 mins ,,Others::Customer - Power Outage,Link is up once power is restored ,Farhan,,,,,,,,,,
107,195941,3,3,ABG,Vinx::Aeon BIG::0023_ABG Ampang,Monitoring,03/18/2020 11:29:00,03/18/2020 14:30:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Modem Hang,Backup link is monitored up once YES LTE modem is rebooted,Farhan,,,,,,,,,,
108,195963,3,4,Wellness,Vinx::Wellness::5053_Wellness Alamanda,Monitoring,03/18/2020 13:49:00,03/18/2020 16:45:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Decommissioned,"As per update from IT Vinx Ben, this site has been closed. (Last business was day on 15/3/2020)",Farhan,,,,,,,,,,
109,196069,3,3,Wellness,Vinx::Wellness::5068_Wellness Mahkota Parade,Monitoring,03/18/2020 23:11:00,03/18/2020 23:53:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once Telco done perform network cellular reset,Farhan,,,,,,,,,,
110,196098,3,3,Wellness,Vinx::Wellness::5091_Wellness Bele Time,Monitoring,03/19/2020 5:19:00,03/19/2020 5:31:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,"WAN Backup - Telco Outage (15 unit IF cable was vandalize onsite)
Solution: Issue resolved once Telco rectified the issue (FE lay new 15 unit IF cable)",Farhan,,,,,,,,,,
111,196164,3,3,WareHouse,Vinx::WareHouse::8018_WH KLPTC,Client,03/19/2020 13:58:00,03/19/2020 17:32:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Issue resolved once TM refresh session ,Farhan,,,,,,,,,,
113,196172,3,3,Wellness,Vinx::Wellness::5094_Wellness Palm Mall,Monitoring,03/19/2020 14:42:00,03/19/2020 17:04:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up once TM reset port and TM modem rebooted onsite ,Farhan,,,,,,,,,,
114,196199,3,3,Wellness,Vinx::Wellness::5070_Wellness Danau Kota,Monitoring,03/19/2020 16:24:00,03/21/2020 11:00:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link up once TMFE done reconfigure TM router.,Farhan,,,,,,,,,,
116,196289,3,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,03/20/2020 3:29:00,03/20/2020 4:27:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link is up once TM refresh session,Shalini,,,,,,,,,,
117,196280,3,3,AMY,Vinx::AMY::1039_AMY Kuching,Monitoring,03/20/2020 0:49:00,04/03/2020 9:23:00,,,0 days 0 hrs 0 mins ,"20/3 - FE Tan
27/3 - FE Tan
1/4 - FE Tan
3/4 - FE Tan",WAN::WAN Primary - Telco Outage,Primary link up once TM enable IPV6 and FE Tan reconnect back TM to cisco,Shalini,,,,,,,,,,
118,196364,3,2,AMY,Vinx::AMY::1039_AMY Kuching,Monitoring,03/20/2020 10:32:00,03/20/2020 10:39:00,03/20/2020 10:32:00,03/20/2020 10:39:00,0 days 0 hrs 7 mins ,20/3 - FE Tan,WAN::WAN Backup - Quota,Site was total down.Primary link was down due to Telco outage (#196280).Backup link flapping due to quota almost depleted lead site total down. Site stable after quota reloaded. ,Shalini,,,,,,,,,,
119,196444,3,3,AMY,Vinx::AMY::1007_AMY Midvalley,Monitoring,03/20/2020 17:15:00,03/20/2020 18:30:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Modem Hang,Link is up once rebooted 4G Yes Lte modem ,Shalini,,,,,,,,,,
123,196475,3,2,AMY,"Vinx::AMY::1017_AMY Bandar Sunway
",Monitoring,03/21/2020 0:11:00,03/21/2020 9:13:00,03/21/2020 8:00:00,03/21/2020 9:13:00,0 days 1 hrs 13 mins ,,Others::Customer - Power Outage,"Link are up once power resumed.
Store open at 10am.",Shalini,,,,,,,,,,
124,196609,3,2,Wellness,Vinx::Wellness::5064_Wellness Ikano,Monitoring,03/22/2020 12:47:00,03/22/2020 16:44:00,03/22/2020 12:47:00,03/22/2020 16:44:00,0 days 3 hrs 57 mins ,,Others::Customer - Power Outage,Site was total down due to power (UPS faulty). Link is up once CTC FE bypassed UPS connecting directly to wall socket,Shalini,,,,,,,,,,
125,196585,3,2,Wellness,Vinx::Wellness::5007_Wellness Taman Maluri,Monitoring,03/22/2020 8:16:00,03/22/2020 8:33:00,03/22/2020 8:16:00,03/22/2020 8:33:00,0 days 0 hrs 17 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Shalini,,,,,,,,,,
127,196750,4,3,Wellness,Vinx::Wellness::5037_Wellness Taiping Mall,Monitoring,03/23/2020 19:12:00,03/24/2020 9:47:00,,,,,WAN::WAN Primary - Modem Hang,Link restored after telco reset port and TM Modem rebooted,Farhan,,,,,,,,,,
129,196890,4,4,Wellness,Vinx::Wellness::5053_Wellness Alamanda,Monitoring,03/24/2020 21:06:00,03/24/2020 21:37:00,,,,,Others::Customer - Decommissioned,"Site has been scheduled for closure (dismantle device) but the activity postponed due to ""Restriction of Movement"" implementation. ",Farhan,,,,,,,,,,
130,196790,4,3,Wellness,Vinx::Wellness::5037_Wellness Taiping Mall,Monitoring,03/24/2020 8:51:00,03/24/2020 10:09:00,,,,,WAN::WAN Primary - Modem Hang,Link restored after telco reset port and TM Modem rebooted.,Farhan,,,,,,,,,,
133,197080,4,3,AMY,Vinx::AMY::1011_AMY Metro Prima,Monitoring,03/25/2020 17:39:00,03/25/2020 17:56:00,,,,,WAN::WAN Backup - Flapping,Link up via self restored.,Shalini,,,,,,,,,,
134,196980,4,3,AMY,Vinx::AMY::1012_AMY Seremban 2,Monitoring,03/25/2020 9:52:00,03/25/2020 10:28:00,,,,,WAN::WAN Backup - Modem Hang,Link is up once rebooted the Yes 4G LTE modem,Shalini,,,,,,,,,,
135,197114,4,3,Wellness,"Vinx::Wellness::5095_Wellness Desa Park City
",Monitoring,03/25/2020 23:32:00,03/27/2020 12:11:00,,,,,WAN::WAN Primary - Telco Outage,"Root Cause: WAN Primary - Telco Outage ( DSLAM cabinet down due to TNB power failure)
Solution: Link restored after DSLAM cabinet power circuit monitor up.",Shalini,,,,,,,,,,
136,197007,4,2,Wellness,Vinx::Wellness::5007_Wellness Taman Maluri,Monitoring,03/25/2020 13:21:00,03/25/2020 13:23:00,03/25/2020 13:21:00,03/25/2020 13:23:00,0 days 0 hrs 2 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Shalini,,,,,,,,,,
140,197172,4,2,ABG,Vinx::Aeon BIG::0026_ABG Tropicana City Mall,Monitoring,03/26/2020 12:31:00,03/26/2020 13:23:00,03/26/2020 12:31:00,03/26/2020 13:15:00,0 days 0 hrs 44 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Shalini,,,,,,,,,,
141,197172,4,2,ABG,Vinx::Aeon BIG::0026_ABG Tropicana City Mall,Monitoring,03/26/2020 12:31:00,03/26/2020 13:23:00,03/26/2020 13:20:00,03/26/2020 13:23:00,0 days 0 hrs 3 mins ,,,,Shalini,,,,,,,,,,
142,197140,4,3,ABG,Vinx::Aeon BIG::0034_ABG Kluang,Monitoring,03/26/2020 4:33:00,03/26/2020 9:32:00,,,,,WAN::WAN Primary - Modem Hang,Link up once rebooted TM modem,Shalini,,,,,,,,,,
143,197199,4,3,AMY,Vinx::AMY::1003_AMY Wangsa Maju,Monitoring,03/26/2020 15:56:00,03/26/2020 23:14:00,,,,,WAN::WAN Primary - Session Hang,Link up once TM reset the port & refresh session.,Shalini,,,,,,,,,,
144,197169,4,4,,Utilization Graph for AMY Store,Client,,,,,,,WAN::WAN - No WAN Issue,Vinx Taufik requested for utilization report for AMY stores. EMC team has provided the information request. Verified with Mr Taufik to proceed with ticket closure,Shalini,,,,,,,,,,
145,197207,4,3,Wellness,Vinx::Wellness::5048_Wellness ABG Puchong Utama,Monitoring,03/26/2020 17:45:00,03/26/2020 18:18:00,,,,,WAN::WAN Backup - Flapping,Link up once Telco reset the cellular network,Shalini,,,,,,,,,,
146,197197,4,3,,Planned Maintenance Notification || Software Upgrade on Maxis Carrier || WAN & EMONEY,Monitoring,,,,,,,<Open Ticket>,"Planned Maintenace activity by Maxis
Date: 2020-04-08 
Time: 01:00 AM to 05:00 AM
Latest Updated:
Planned Maintenance Software Upgrade for Maxis Carier on 8th April 2020 has been postponed. New schedule date will provide after MCO.",Shalini,,,,,,,,,,
147,197335,4,3,WareHouse,Vinx::WareHouse::8013_WH SSDC Petaling Jaya,Monitoring,03/27/2020 16:38:00,03/28/2020 8:00:00,,,,,WAN::WAN Backup - Modem Hang,Link is up after YES LTE modem rebooted ,Farhan,,,,,,,,,,
148,197278,4,3,Wellness,Vinx::Wellness::5048_Wellness ABG Puchong Utama,Monitoring,03/27/2020 10:14:00,03/28/2020 12:27:00,,,,"FE - John 28/3
FE - Faizol 29/3",WAN::WAN Backup - Intermittent,Link is stable once our FE change a new Sim Telco Maxis.,Farhan,,,,,,,,,,
149,197276,4,2,Wellness,Vinx::Wellness::5007_Wellness Taman Maluri,Monitoring,03/27/2020 9:56:00,03/27/2020 9:57:00,03/27/2020 9:56:00,03/27/2020 9:57:00,0 days 0 hrs 1 mins ,,Others::Customer - Power Outage,Link up once power resume. Detected total outage duration just 1 minute in Solawind portal.,Farhan,,,,,,,,,,
150,197244,4,3,Wellness,Vinx::Wellness::5043_Wellness Aman Sentral,Monitoring,03/27/2020 4:09:00,03/27/2020 6:58:00,,,,,WAN::WAN Backup - Flapping,Link up once Telco done perform network cellular reset,Farhan,,,,,,,,,,
151,197380,4,3,Wellness,Vinx::Wellness::5052_Wellness AMY Kota Bharu,Monitoring,03/27/2020 21:30:00,03/27/2020 22:15:00,,,,,WAN::WAN Backup - Flapping,Link up once Telco done perform network cellular reset,Farhan,,,,,,,,,,
153,197446,4,3,Daiso,Vinx::Daiso::5128_Daiso Klebang,Monitoring,03/28/2020 12:05:00,03/28/2020 13:15:00,,,,,WAN::WAN Primary - Modem Hang,Link is up after TM modem is rebooted ,Farhan,,,,,,,,,,
154,197498,4,3,Wellness,Vinx::Wellness::5052_Wellness AMY Kota Bharu,Monitoring,03/28/2020 17:19:00,03/28/2020 18:11:00,,,,,WAN::WAN Backup - Flapping,Link is up after Telco reset cellular network ,Farhan,,,,,,,,,,
156,197551,4,3,ABG,Vinx::Aeon BIG::0038_ABG Falim,Monitoring,03/29/2020 2:02:00,04/09/2020 12:19:00,,,,,Others::Customer - Building Internal Cabling,Primary Link TM is monitored up and stable after internal cabling issue resolved.,Farhan,,,,,,,,,,
157,197596,4,3,MaxValue,Vinx::MaxValue::3021_MaxValue Bele Time (Danga Bay),Monitoring,03/29/2020 11:03:00,03/29/2020 17:17:00,,,,,WAN::WAN Primary - Modem Hang,Link restored after telco reset port and TM Modem rebooted,Farhan,,,,,,,,,,
158,197630,4,3,Wellness,Vinx::Wellness::5058_Wellness Sunway Carnival,Monitoring,03/29/2020 18:41:00,03/30/2020 11:46:00,,,,,WAN::WAN Primary - Modem Hang,Primary link up after telco reset port and PIC rebooted TM modem,Farhan,,,,,,,,,,
159,197608,4,2,Wellness,Vinx::Wellness::5091_Wellness Bele Time (Danga Bay),Monitoring,03/29/2020 13:32:00,03/29/2020 13:35:00,03/29/2020 13:32:00,03/29/2020 13:35:00,0 days 0 hrs 3 mins ,,Others::Customer - Power Outage,Link up once power resume,Farhan,,,,,,,,,,
161,197729,1,3,ABG,Vinx::Aeon BIG::0031_ABG Shah Alam,Monitoring,03/30/2020 23:42:00,03/31/2020 1:37:00,,,,,WAN::WAN Backup - Flapping,Backup link up after telco reset session,Wany,,,,,,,,,,
