NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY,,,,,,,,,,
115,196210,3,3,E-Money,Vinx::AMY::1017_AMY Bandar Sunway,Monitoring,03/19/2020 16:33:23,03/19/2020 17:03:23,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once done reset cellular network,Farhan,,,,,,,,,,
120,196290,3,3,E-Money,Vinx::AMY::1017_AMY Bandar Sunway,Monitoring,03/20/2020 3:13:23,03/20/2020 6:23:23,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once perform network cellular reset,Shalini,,,,,,,,,,
121,196277,3,3,E-Money,Vinx::Aeon BIG::0032_ABG Puchong,Monitoring,03/20/2020 0:06:15,03/20/2020 1:06:15,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup Wired  - Session Hang,Link up once Telco refresh session & reset port,Shalini,,,,,,,,,,
126,196579,3,3,E-Money,Vinx::Aeon BIG::0032_ABG Puchong,Monitoring,03/22/2020 4:26:15,03/22/2020 5:11:15,,,,,WAN::WAN Backup Wired  - Session Hang,Link monitored up after TM refresh session and we do reset the connection for backup wired,Shalini,,,,,,,,,,
128,196701,4,3,E-Money,Vinx::Aeon BIG::0037_ABG Alor Setar,Monitoring,03/23/2020 12:57:51,03/23/2020 17:22:51,,,,,WAN::WAN Backup Wired  - Modem Hang,Link restored after telco refresh session and TM Modem rebooted.,Farhan,,,,,,,,,,
131,196769,4,2,E-Money,Vinx::AMY::1035_AMY Kota Bahru,Monitoring,03/24/2020 2:40:08,03/24/2020 2:41:08,,,,,Others::Customer - Power Outage,Link is up once power resumed,Farhan,,,,,,,,,,
132,196793,4,3,E-Money,Vinx::Aeon BIG::0037_ABG Alor Setar,Monitoring,03/24/2020 8:32:45,03/24/2020 10:02:45,,,,,WAN::WAN Backup Wired  - Modem Hang,"Link is up once refresh session, reset port and TM modem rebooted.",Farhan,,,,,,,,,,
137,197120,4,3,E-Money,Vinx::MaxValue::3020_MaxValue New Desa Park,Monitoring,03/25/2020 23:31:11,03/27/2020 12:27:10,,,,,WAN::WAN Primary - Telco Outage,"Root Cause: WAN Primary - Telco Outage ( DSLAM cabinet down due to TNB power failure)
Solution: DSLAM cabinet power restored, circuit monitor up.",Shalini,,,,,,,,,,
138,197107,4,3,E-Money,Vinx::AMY::1018_AMY Bukit Tinggi,Monitoring,03/25/2020 21:23:31,03/25/2020 22:13:31,,,,,WAN::WAN Backup - Flapping,Link monitored up after telco reset cellular from their end,Shalini,,,,,,,,,,
139,197171,4,2,E-Money,Vinx::Aeon BIG::0026_ABG Tropicana City Mall,Monitoring,03/26/2020 12:29:44,03/26/2020 13:09:44,03/26/2020 12:29:44,03/26/2020 13:09:44,0 days 0 hrs 40 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Shalini,,,,,,,,,,
152,197275,4,3,E-Money,Vinx::AMY::1017_AMY Bandar Sunway,Monitoring,03/27/2020 9:13:23,03/27/2020 9:48:23,,,,,WAN::WAN Backup - Flapping,Link is up once done reset cellular network ,Farhan,,,,,,,,,,
155,197455,4,3,E-Money,Vinx::AMY::1017_AMY Bandar Sunway,Monitoring,03/28/2020 12:23:23,03/28/2020 14:03:23,,,,,WAN::WAN Backup - Flapping,Link restored after telco refresh sim and we performed reset network cellular.,Farhan,,,,,,,,,,
160,197543,4,3,E-Money,Vinx::Aeon BIG::0030_ABG Bukit Rimau,Monitoring,03/28/2020 21:15:42,03/29/2020 19:03:46,,,,,WAN::WAN Backup Wired  - Intermittent,Backup wired TM up and stable after telco reset port clear session and PIC rebooted TM modem,Farhan,,,,,,,,,,
