NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
48,199423,2,3,MaxValue,Vinx::MaxValue::3017_MaxValue Selayang Mall,Monitoring,04/07/2020 2:39:00,04/07/2020 7:13:00,,,0 days 0 hrs 0 mins ,FE John - 7/4,WAN::WAN Primary - Session Hang,Primary link is up once telco reset port and session,Nathasha
49,199854,2,3,ABG,Vinx::Aeon BIG::0034_ABG Kluang,Monitoring,04/08/2020 22:43:00,04/09/2020 9:12:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Primary link up after telco reset port and session and PIC onsite rebooted TM modem,Wany
50,199778,2,2,Wellness,Vinx::Wellness::5054_Wellness TTDI,Monitoring,04/08/2020 15:19:00,04/08/2020 18:31:00,04/08/2020 15:19:00,04/08/2020 18:31:00,0 days 3 hrs 12 mins ,,Others::Customer - Power Outage,Link is up once power resumed (Building maintenance repaired on the electric issue),Wany
51,199766,2,3,AMY,Vinx::AMY::1025_AMY Rawang,Monitoring,04/08/2020 13:59:00,04/08/2020 15:23:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Modem Hang,Backup link up after PIC onsite rebooted YES LTE modem,Wany
52,199870,2,3,Daiso,Vinx::Daiso::5104_Daiso Bandar Utama,Monitoring,04/09/2020 1:02:03,04/09/2020 3:47:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link up after telco performed cellular reset connection,Wany
53,199973,2,3,Wellness,Vinx::Wellness::5018_Wellness AMY Metro Prima,Monitoring,04/09/2020 21:27:00,04/09/2020 21:54:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link up after telco performed cellular reset connection,Wany
55,200117,2,3,Wellness,Vinx::Wellness::5086_Wellness Saradise Mall,Monitoring,04/10/2020 21:28:00,04/10/2020 22:14:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once Telco done reset cellular network ,Nathasha
56,200120,2,3,Wellness,Vinx::Wellness::5018_Wellness AMY Metro Prima,Monitoring,04/10/2020 22:26:00,04/11/2020 8:25:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link up after telco performed cellular reset connection,Nathasha
57,199987,2,3,Wellness,Vinx::Wellness::5018_Wellness AMY Metro Prima,Monitoring,04/10/2020 1:48:00,04/10/2020 7:19:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once Telco done reset cellular network ,Nathasha
58,200065,2,3,AMY,Vinx::AMY::1025_AMY Rawang,Monitoring,04/10/2020 15:10:00,04/10/2020 15:28:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Self Restored,Nathasha
59,200245,2,3,WareHouse,Vinx::WareHouse::8017_WH PC Shah Alam,Monitoring,04/11/2020 17:38:00,04/11/2020 17:54:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link up once telco refresh session and reset port,Nathasha
61,200145,2,3,ABG,Vinx::Aeon BIG::0039_ABG Danau Kota,Monitoring,04/11/2020 3:24:00,04/11/2020 5:40:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,Link is up after Primary link tunnel was bounced,Nathasha
62,200256,2,3,AMY,Vinx::AMY::1035_AMY Kota Bahru,Monitoring,04/11/2020 18:00:00,04/11/2020 18:04:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link restored after telco refresh session and reset port,Nathasha
63,200233,2,3,AMY,Vinx::AMY::1006_AMY Ipoh Kinta City,Monitoring,04/11/2020 16:52:00,04/11/2020 17:54:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link restored after telco refresh session and TM Modem rebooted.,Nathasha
65,200385,2,3,WareHouse,Vinx::WareHouse::8013_WH SSDC Petaling Jaya,Monitoring,04/12/2020 17:38:00,04/13/2020 16:55:00,,,0 days 0 hrs 0 mins ,FE Hariz - 13/4,WAN::WAN Primary - Telco Outage,Primary link monitored up once change cable at TM from LAN 2 to LAN 3,Nathasha
67,200406,2,3,Wellness,Vinx::Wellness::Bele Time,Monitoring,04/12/2020 23:37:00,04/13/2020 5:52:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once Telco done reset sim and Tier team reset cellular network,Nathasha
68,200538,3,3,ABG,Vinx::Aeon BIG::0039_ABG Danau Kota,Monitoring,04/14/2020 3:23:00,04/14/2020 4:30:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,Link is up after Primary link tunnel was bounced,Shalini
69,200705,3,4,Wellness,Vinx::Wellness::5070_Wellness Danau Kota,Client,04/14/2020 21:53:00,04/15/2020 16:26:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Application,"Root Cause: Customer - Application
Solution: Client performed disk clean up and clear temp folder. Test download all types of file from email, all good.",Shalini
70,200684,3,2,Wellness,Vinx::Wellness::5016_Wellness AMY Kulai Jaya,Monitoring,04/14/2020 18:33:00,04/14/2020 18:36:00,04/14/2020 18:33:00,04/14/2020 18:36:00,0 days 0 hrs 3 mins ,,Others::Customer - Power Outage,Link is up once power is resumed,Shalini
71,200559,3,2,WareHouse,Vinx::WareHouse::8013_WH SSDC Petaling Jaya,Monitoring,04/14/2020 8:43:00,04/14/2020 8:46:00,04/14/2020 8:43:00,04/14/2020 8:46:00,0 days 0 hrs 3 mins ,,WAN::WAN Primary - Flapping,"Self restored and backup unable to triggered due to primary flapping in short downtime period.
Remark: TMFE attended site confirmed that their TM modem was faulty due to lightning strike, they already replaced new TM modem. From Cisco router side, port GE WAN0 was faulty as well. Currently site running on backup YES LTE. We already request VINX Operation Team to check on building grounding/earthing (nowdays heavy rain/lightning strike). So far we still hold router replacement till VINX Operation team advise for next step action. Ticket No. Primary Link issue : 202490",Shalini
72,200820,3,4,ABG,Vinx::Aeon BIG::0011_ABG Subang (HQ),Client,04/15/2020 11:33:00,04/18/2020 18:13:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - No WAN Issue,"Issue: Apps team complaint that they unable to ping / traceroute from abg hq towards pmsuat ( 200.1.1.216 )
Updated: Done checking Nosairis part, there is no abnormalities found. From tracert that IT Vinx Rajen request to shared, the IP address (200.1.1.216) reached our FW (10.1.5.1). ",Farhan
73,200808,3,3,Daiso,Vinx::Daiso::5139_Daiso Evo Bangi,Monitoring,04/15/2020 10:00:00,04/15/2020 12:12:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up after TM modem is rebooted ,Farhan
74,200804,3,3,AMY,Vinx::AMY::1027_AMY Sri Manjung,Monitoring,04/15/2020 8:48:00,04/15/2020 10:12:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up after TM modem is rebooted ,Farhan
75,200877,3,2,Wellness,Vinx::Wellness::5077_Wellness The Spring,Monitoring,04/15/2020 17:52:00,04/15/2020 17:53:00,04/15/2020 17:52:00,04/15/2020 17:53:00,0 days 0 hrs 1 mins ,,Others::Customer - Power Outage,Link is up once power is restored ,Farhan
76,200821,3,3,Wellness,Vinx::Wellness::5093_Wellness Selayang Mall,Monitoring,04/15/2020 11:58:00,04/15/2020 13:11:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up after TM modem is rebooted,Farhan
77,200773,3,3,Aeon,Vinx::Multiple Backup link Down(19) | 4G YES LTE,Monitoring,04/15/2020 3:37:00,04/15/2020 5:02:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,Backup link YES LTE restored after telco rectified the issue.,Farhan
78,200937,3,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,04/16/2020 10:23:00,04/16/2020 12:40:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,"Link restored after telco refresh session, reset port and TM Modem rebooted",Farhan
79,200915,3,2,Daiso,Vinx::Daiso::5113_Daiso Kiara,Monitoring,04/16/2020 4:29:00,04/16/2020 6:43:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is restored ,Farhan
80,200907,3,2,Wellness,Vinx::Wellness::5073_Wellness Kiara,Monitoring,04/16/2020 3:07:00,04/16/2020 6:43:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is restored ,Farhan
